Autopia aka Grand Circuit Raceway Grand Prix Raceway Tomorrowland Indy Speedway Tomorrowland Speedway,1955,Tomorrowland (1955–present),,Tomorrowland (as Grand Prix Raceway Tomorrowland Indy Speedway or Tomorrowland Speedway) (1971–present),,,,Discoveryland (1992–present),,Tomorrowland (as Grand Circuit Raceway) (1983–2017),,Tomorrowland (2006–2016),,
Avatar Flight of Passage,2017,,,,,,Pandora-The World ofAvatar(2017–present),,,,,,,
Avengers Assemble: Flight Force,2022,,,,,,,,Avengers Campus (2022–present),,,,,
Avengers Infinity Defense,2027,,Avengers Campus,,,,,,,,,,,
Awesome Planet,2020,,,,The Land (2020–present),,,,,,,,,
The Bakery Tour,2001,,Pacific Wharf (2001–2023)San Fransokyo Square (2023–present),,,,,,,,,,,
The Barnstormer at Goofy's Wiseacre Farm,1996,,,Mickey's Toontown Fair (1996–2011) (rethemed as "The Barnstormer featuring Goofy as the Great Goofini"),,,,,,,,,,
The Barnstormer featuring Goofy as the Great Goofini,2012,,,Storybook Circus (2012–present) (rethemed from "The Barnstormer at Goofy's Wiseacre Farm"),,,,,,,,,,
Beauty and the Beast Sing-Along,2020,,,,World Showcase (2020–present),,,,,,,,,
Beauty and the Beast Live on Stage,1991,Fantasyland Theatre (1992–1995),,,,Sunset Boulevard (1991–present),,Discovery Land (1992–1996),,,,,,
Believe... In Holiday Magic,2000,(2000–present),,,,,,,,,,,,
Believe... There's Magic in the Stars,2000,(2000–2004),,,,,,,,,,,,
Big Grizzly Mountain Runaway Mine Cars,2012,,,,,,,,,,,Grizzly Gulch (2012–present),,
Big Thunder Mountain Railroad,1979,Frontierland (1979–present),,Frontierland (1980–present),,,,Frontierland (as Big Thunder Mountain) (1992–present),,Westernland (as Big Thunder Mountain) (1987–present),,,,
Block Party Bash(parade/show),2005,,(2005–2008),,,(2008–2011),,,,,,,,
Blowfish Balloon Race,2001,,,,,,,,,,Mermaid Lagoon (2001–present),,,
Body Wars,1989,,,,Future World (1989–2007),,,,,,,,,
BraviSEAmo!,2004,,,,,,,,,Mediterranean Harbor (2004–2010),,,,
Buzz Lightyear attractions(names vary),1998,Tomorrowland (as Buzz Lightyear Astro Blasters) (2005–present),,Tomorrowland (as Buzz Lightyear's Space Ranger Spin) (1998–present),,,,Discoveryland (as Buzz Lightyear Lazer Blast) (2006–present),,Tomorrowland (as Buzz Lightyear's Astro Blasters) (2004–2024),,Tomorrowland (as Buzz Lightyear Astro Blasters) (2005–2017),Tomorrowland (as Buzz Lightyear Planet Rescue) (2016–present),
Canada Pavilion,1982,,,,World Showcase (1982–present),,,,,,,,,
Canada: Far and Wide,2020,,,,World Showcase (2020–present),,,,,,,,,
Captain EO,1986,Tomorrowland (1986–1997 2010–2014),,,Future World (1986–1994 2010–2015),,,Discoveryland (1992–1998 2010–2015),,Tomorrowland (1987–1996 2010–2014),,,,
Carnival de Lumiere,1982,,,,World Showcase (1982–1983) (replaced by "A New World Fantasy"),,,,,,,,,
Carrousel de Lancelot,1992,,,,,,,Fantasyland (1992–present),,,,,,
Castle of Magical Dreams,2020,,,,,,,,,,,Fantasyland (2020–present),,
Carousel of Progress aka Walt Disney's Carousel of Progress,1967,Tomorrowland (1967–1973),,Tomorrowland (as Walt Disney's Carousel of Progress) (1975–present),,,,,,,,,,
Cars Quatre Roues Rallye aka Cars Race Rally,2007,,,Cars Land,,,,,Toon Studio Worlds of Pixar (2007–present),,,,,
Cars Road Trip,2021,,,,,,,,Toon Studio Worlds of Pixar (2021–present),,,,,
Casey Jr. Circus Train,1955,Fantasyland (1955–present),,,,,,Fantasyland (1994–present),,,,,,
Castle Carrousel,,,,,,,,,,See "Prince Charming Regal Carrousel",,,,
Celebrate the Magic,2012,,(2012–2016),,,,,,,,,,,
Celebrate! Tokyo Disneyland,2018,,,,,,,,,(2018–2019),,,,
China Pavilion,1982,,,,World Showcase (1982–present),,,,,,,,,
Chip 'n Dale's Treehouse,1993,Mickey's Toontown (1993–2022),,,,,,,,Toontown,,,,
A Christmas Fantasy Parade,1995,(1995–present),,,,,,,,,,,,
Cinderella Carousel,,,,,,,,,,,,See "Prince Charming Regal Carrousel",,
Cinderella Castle,1971,,,Fantasyland (1971–present),,,,,,Fantasyland (1983–present),,,,
Cinderella's Golden Carrousel,,,,See "Prince Charming Regal Carrousel",,,,,,,,,,
CinéMagique,2002,,,,,,,,Production Courtyard (2002–2017),,,,,
Circarama,,See "Circle-Vision",,,,,,,,,,,,
Circle of Life: An Environmental Fable,1995,,,,The Land (1995–2018),,,,,,,,,
Circle-Vision aka Circarama,1955,Tomorrowland (1955–1997),,,,,,,,,,,,
Club 33,1967,New Orleans Square (1967–present),,,,,,,,World Bazaar (1983–present),,,Mickey Avenue (2016–present),
CommuniCore,1982,,,,Future World (1982–1994),,,,,,,,,
Countdown to Extinction,,,,,,,See "Dinosaur",,,,,,,
Country Bear JamboreeAKA Country Bear Theater,1971,Critter Country (1972–2001),,Frontierland (1971–2024); (as Country Bear Musical Jamboree) (2024–present),,,,,,Westernland (1983–present),,,,
Cranium Command,1989,,,,Future World (1989–2007),,,,,,,,,
Crush's Coaster,2007,,,,,,,Toon Studio Worlds of Pixar (2007–present),,,,,,
